Country Name,Country Code,Jahr,GDP,GDP_per_Capita,Inflation,Population,Unemployment
Mexico,MEX,1979,134531900898.926,2049.26468871816,18.1912462987643,65648865.0,
Russian Federation,RUS,1979,,,,138027000.0,
Saudi Arabia,SAU,1979,111858444786.224,19611.565126033,1.08156690288337,5703698.0,
South Africa,ZAF,1979,63038658088.9121,2201.51922339868,13.2936624628059,28634162.0,
Turkiye,TUR,1979,89616129032.2581,2013.37374286503,63.5431082506343,44510429.0,
United Kingdom,GBR,1979,438994070309.191,7804.76208051155,13.4212799774012,56246951.0,
United States,USA,1979,2627333000000.0,11674.1818666548,11.2544711292795,225055000.0,
Argentina,ARG,1980,76961923741.0701,2747.5022751674,,28011596.0,
Australia,AUS,1980,150200557103.064,10223.2886675105,10.1358411703239,14692000.0,
Brazil,BRA,1980,237393489892.637,1958.57159232662,,121207461.0,
Canada,CAN,1980,274776566028.053,11208.2027394178,10.1292205085453,24515667.0,
China,CHN,1980,191487500000.0,195.149479992051,,981235000.0,
France,FRA,1980,694529183483.39,12565.1639377144,13.5625788483016,55274184.0,
Germany,DEU,1980,953772499462.019,12182.7800196802,5.44105754460347,78288576.0,
India,IND,1980,186328579302.068,271.080945953678,11.3460734795095,687354025.0,
Indonesia,IDN,1980,72482337397.4439,486.620172021155,18.035422125313,148950540.0,
Italy,ITA,1980,478356755595.749,8476.41045000836,21.0641682770745,56433883.0,
Japan,JPN,1980,1129377244854.04,9668.74626395709,7.77858176555718,116807000.0,
"Korea, Rep.",KOR,1980,66547970350.6151,1745.57662116658,28.6976086362017,38123775.0,
Mexico,MEX,1980,205577055465.993,3054.62162291784,26.3516513562834,67300334.0,
Russian Federation,RUS,1980,,,,139010000.0,
Saudi Arabia,SAU,1980,164539660725.118,27205.6452285141,4.16926655363289,6047997.0,
South Africa,ZAF,1980,89411864402.4272,3028.97447561832,13.6602404681115,29518857.0,
Turkiye,TUR,1980,68823684210.5263,1515.64589850068,94.2608598807591,45408815.0,
United Kingdom,GBR,1980,564947710899.373,10032.062080015,17.9659242656857,56314216.0,
United States,USA,1980,2857307000000.0,12574.7915062163,13.5492019749684,227225000.0,
Argentina,ARG,1981,78676842366.5529,2764.08641421079,,28463959.0,
Australia,AUS,1981,177151979565.773,11870.8633077339,9.48766603415561,14923260.0,
Brazil,BRA,1981,258015174748.648,2079.70908377484,101.725072957927,124063109.0,
Canada,CAN,1981,307246642755.859,12379.0368643833,12.4716124148372,24819915.0,
China,CHN,1981,196218253968.254,197.425510967822,,993885000.0,
France,FRA,1981,609184791792.396,10955.9002996167,13.3144055680071,55603353.0,
Germany,DEU,1981,803404797057.551,10246.4767623188,6.34424277746325,78407907.0,
India,IND,1981,193491368445.573,274.964330768528,13.112546897642,703696250.0,
Indonesia,IDN,1981,85518233419.0479,560.830336032961,12.2659075874853,152485035.0,
Italy,ITA,1981,431695533980.583,7640.40241250516,17.9692987519672,56501675.0,
Japan,JPN,1981,1245221410764.15,10583.1278908402,4.91216291820523,117661000.0,
"Korea, Rep.",KOR,1981,74287368087.3467,1918.41779613494,21.351640254,38723248.0,
Mexico,MEX,1981,263797827860.494,3829.14437544129,27.9337625982399,68892108.0,
Russian Federation,RUS,1981,,,,139941000.0,
Saudi Arabia,SAU,1981,184291360138.69,28703.35585508,2.79898218829488,6420551.0,
South Africa,ZAF,1981,93141472163.7596,3049.71474333882,15.2542337674194,30541044.0,
Turkiye,TUR,1981,71180180180.1802,1536.66562064101,37.6147825797716,46321190.0,
United Kingdom,GBR,1981,540765675241.158,9599.30622221965,11.8766265142296,56333829.0,
United States,USA,1981,3207041000000.0,13976.10539252,10.3347153402771,229466000.0,
Argentina,ARG,1982,84307486836.724,2914.76708504176,,28924262.0,
Australia,AUS,1982,194323071830.52,12797.6758959809,11.3518197573657,15184247.0,
Brazil,BRA,1982,271314113768.417,2137.6250359394,100.54335919485,126923155.0,
Canada,CAN,1982,314647807408.608,12527.3135323802,10.7689718997139,25116942.0,
China,CHN,1982,205480916030.534,203.722788366928,,1008630000.0,
France,FRA,1982,578152310609.841,10359.8920663549,11.9784719523806,55806789.0,
Germany,DEU,1982,779421633755.138,9950.05926025365,5.24104507228422,78333366.0,
India,IND,1982,200715624830.902,278.65038258267,7.89074279377487,720313473.0,
Indonesia,IDN,1982,90158449294.9921,577.745632722784,9.44542534921144,156052152.0,
Italy,ITA,1982,428257421617.752,7573.93967597775,16.4804146202214,56543548.0,
Japan,JPN,1982,1158731426905.85,9779.97490636267,2.7410409556314,118480000.0,
"Korea, Rep.",KOR,1982,79921300446.6517,2032.25817758667,7.1908466400687,39326352.0,
Mexico,MEX,1982,184602611609.517,2620.95793392947,58.9134198531048,70433260.0,
Russian Federation,RUS,1982,,,,140823000.0,
Saudi Arabia,SAU,1982,153240313858.323,22454.4843169614,1.02103960396035,6824486.0,
South Africa,ZAF,1982,85904057409.3585,2717.16388710425,14.6390405853128,31615339.0,
Turkiye,TUR,1982,64369325153.3742,1360.23825219775,29.1375145022677,47322096.0,
United Kingdom,GBR,1982,515048916841.37,9146.07735701852,8.59886383332186,56313641.0,
