Land,Finanzkrise,Eurokrise,COVID
ARG,,,-11.533209611583004
AUS,-0.5564941227022202,0.67877147521286,-0.763862335444485
BRA,1.24676180774147,1.3162758676330206,-0.5212081741351802
CAN,-1.8389171896590708,0.6388250948060179,-1.232269391808103
CHN,-5.544932924721238,3.3492152684140484,-0.47981226900444973
DEU,-1.985604999641063,1.191984295150313,-1.3007818430685478
FRA,-1.4003775813811448,0.7760950197043498,-0.6317560701578739
GBR,-0.4248297721321801,0.3299349310655002,-0.7486178970926389
IDN,-2.0201477617393104,2.0260814610831703,-1.1107493367086798
IND,4.50947158524409,-0.8644744665662003,2.8939310408940595
ITA,-1.054972990636649,0.445225291355679,-0.748954517681814
JPN,-1.412876184015859,1.687874641701931,-0.493771993411681
KOR,0.2219227235599801,-1.4551489994651703,0.154287719803601
MEX,1.3305067877062102,-1.4909651448165202,-0.23912726557039976
RUS,2.640030887801009,-4.892661237376939,-1.0898283488983505
SAU,0.8893991771675003,-1.54618066348473,4.56533605545623
ZAF,1.0602830900013904,-1.4579261374035104,-0.87046243846043
TUR,-2.5052042788201305,1.2421136745706693,-2.8978641257448015
USA,-3.2082187478011273,1.820378921926917,-0.5786256789539199
