year,valence,energy,danceability
2000,0.62899,0.7495,0.65875
2001,0.653694,0.72096,0.67281
2002,0.574905,0.7294799999999999,0.6507599999999999
2003,0.600036,0.70513,0.6631100000000001
2004,0.598722,0.712545,0.66997
2005,0.54643,0.6659999999999999,0.66754
2006,0.5711999999999999,0.7092100000000001,0.6463599999999999
2007,0.59214,0.73878,0.65483
2008,0.5350280000000001,0.7231799999999999,0.63445
2009,0.53871,0.7487699999999999,0.63019
2010,0.555751,0.74933,0.64668
2011,0.534516,0.73493,0.62975
2012,0.5436529999999999,0.73592,0.63453
2013,0.507431,0.7145199999999999,0.6306
2014,0.51202,0.679639,0.6552500000000001
2015,0.47387799999999997,0.66913,0.6490900000000001
2016,0.47234000000000004,0.648285,0.6513100000000001
2017,0.460871,0.62928,0.69396
2018,0.471312,0.6602,0.6965
2019,0.48446399999999995,0.61969,0.71004
2020,0.498181,0.6089,0.70309
2021,0.48507,0.61231,0.68754
2022,0.514477,0.63782,0.67006
2023,0.51073,0.625411,0.67525
