;Valence;Energy;Danceability;Unemployment
Valence;1,0;0,5999614651725959;-0,2969950148356822;0,05879859263813676
Energy;0,5999614651725959;1,0;-0,7462084767989737;0,5676846388345963
Danceability;-0,2969950148356822;-0,7462084767989737;1,0;-0,6788661156372209
Unemployment;0,05879859263813676;0,5676846388345963;-0,6788661156372209;1,0
